%eval_id interface RELDEPTH       DIAMETER       ANGLE          ELECTRELDEPTH  THICKNESS_SKIN THICKNESS_SCT  THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF  CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF AFmax_4um      GAFmax_4um     
11       INTERFACE  0.3997310585   0.4501332076   82.20876609    0.3091916102   0.794702149    0.1901260349   0.276335782    1.079409083    1.999063278    3.477914862    1.19961686     3.866834912    0.06927308497  0.2793907685   0.04080387113  0.04880049775  0.009005524593 0.3379986907   1.703901385    932.8249272    28.43635328    
12       INTERFACE  0.5757470299   0.6575085055   42.43613415    0.8179745702   0.4073243485   1.863294573    0.1583050692   0.6833897855   2.748050363    2.591711617    1.818243709    2.319066577    0.1989382473   0.2025895069   0.04488626832  0.1269838112   0.009789572508 0.07150607945  0.5262964696   154.4166888    10.14215342    
13       INTERFACE  0.5396965721   0.9879730725   45.41123748    0.1070802435   0.7487556944   1.663114302    0.4319520799   1.658816436    2.426916174    3.84177924     0.3361234798   4.059932219    0.06605569094  0.05322393223  0.1105575961   0.131256072    0.002648224883 0.03474311929  0.5294480635   224.1305041    13.26829586    
14       INTERFACE  0.4582714255   0.1778277165   43.34780404    0.4483674811   0.460932875    0.7712373852   0.4243721761   0.3443567277   1.868640195    1.825030813    1.984344916    3.717220316    0.03579995335  0.3463403985   0.1082477135   0.1037740926   0.003740487789 0.03137513235  3.548144343    363.5698909    15.60885256    
15       INTERFACE  0.1227965345   0.7324204752   81.36863278    0.3427625337   0.4391673257   0.3235788845   0.1188599053   0.9874157374   0.6495769979   1.881624016    1.063076139    2.29650649     0.2141082595   0.3470520417   0.06262665222  0.08189082131  0.01271530813  0.1724770356   2.84755728     462.4976743    14.66962429    
16       INTERFACE  0.3474240197   0.8277765263   77.12164566    0.5054612224   0.7239391587   1.050639985    0.2344066038   1.587217258    0.5161611553   3.887238095    1.429667593    2.63018957     0.1858500259   0.06525909836  0.01198313096  0.01616092713  0.007221327218 0.1648968005   1.888527268    467.7644179    14.59118938    
17       INTERFACE  0.07313862945  0.111082856    33.6265454     0.2083758142   0.5343494384   0.2017378123   0.3879895325   0.9792348117   1.808683481    2.806022714    1.889611118    3.611300041    0.1575100415   0.02753010795  0.01509632903  0.04134905293  0.001757041239 0.2508742087   2.097232493    1187.74472     36.93013282    
18       INTERFACE  0.7946572734   0.5532360351   34.96092997    0.6746636906   0.2545761345   1.787457574    0.4137858369   0.566918717    2.208960121    3.294869498    0.656882571    4.776967546    0.08562346815  0.1403375624   0.06864748128  0.0111324522   0.007503963586 0.1825383444   3.180888969    312.9245087    14.7889136     
19       INTERFACE  0.7158823468   0.1671420381   46.44396626    0.5168207372   0.3494782595   1.223151147    0.3897146534   1.655914045    2.409942305    3.121039164    0.9437211606   2.776004569    0.2657225581   0.2597155993   0.1335068422   0.1385310297   0.01402826797  0.1367981967   1.447483665    157.4027442    6.637555045    
20       INTERFACE  0.3564731489   0.3151711812   55.58515423    0.1135087271   0.4617232841   0.3658010899   0.4549411139   0.5204877783   0.7090446967   2.88024305     1.93239559     4.984348111    0.0616308423   0.1066415862   0.06778743199  0.1093645577   0.002123036403 0.1742004117   0.4890616284   978.6738108    26.66844067    
21       INTERFACE  0.7707435472   0.3973699137   19.46082562    0.6345368129   0.1989110933   1.712412486    0.1775121259   1.10888186     2.985008464    1.903289794    0.6639418285   3.694103471    0.2222926026   0.3066865343   0.07672371892  0.08804507165  0.01224160857  0.2495368684   0.3119998206   141.9199289    10.14179519    
22       INTERFACE  0.861400209    0.7591978473   44.76131547    0.552664264    0.765613872    1.09023453     0.3806905874   1.712542343    1.842991745    2.900478912    2.214557523    4.879876674    0.1159120511   0.1405774881   0.05809024101  0.03130748016  0.01382529535  0.1799093877   0.9420359073   264.983035     10.85067236    
23       INTERFACE  0.6877670103   0.1865542215   80.52774324    0.8251909652   0.6776597438   1.036817484    0.28808967     1.361670929    0.7364555628   1.356444968    2.069500049    3.455745632    0.1904092386   0.09627261558  0.05288198838  0.0741217516   0.008965451646 0.2554112862   2.423075061    403.1997849    12.87453801    
24       INTERFACE  0.3255601566   0.3446473228   27.13518919    0.6558703961   0.790960562    1.803342201    0.2728632707   1.606813321    3.187809947    2.206679729    2.037270148    2.191316569    0.195411772    0.1017029274   0.07408384537  0.1331617707   0.00270649786  0.2474720674   2.574046337    126.4018453    14.31362116    
25       INTERFACE  0.4925807376   0.3687393185   38.96493311    0.8524637396   0.7255297308   1.030775844    0.262686501    0.3621714003   1.416276141    3.481583644    2.067476377    4.763857562    0.2420743793   0.1679647219   0.06484471767  0.0338202913   0.01261110074  0.02730283596  2.192969648    298.4409639    11.72250779    
26       INTERFACE  0.8641073333   0.2164272965   57.81834105    0.9528333808   0.7080499625   1.101587396    0.1838855554   1.223528359    3.183386771    3.810224135    1.573093463    2.452679583    0.1287507895   0.2280462672   0.1108474792   0.1464103487   0.005958883927 0.2595459904   1.465549451    215.9364856    9.146464546    
27       INTERFACE  0.279048613    0.8553389002   63.57217978    0.4252788359   0.5398676391   0.7532781737   0.1059240248   0.2902917139   2.65644845     1.919263295    1.83066405     3.155784299    0.03411640027  0.1431469069   0.06956676695  0.03066272228  0.002997296716 0.4124421573   3.398835094    594.2955805    24.02402946    
28       INTERFACE  0.4708880713   0.2103843921   13.36400323    0.2786722756   0.643147529    0.8897825772   0.1900131674   0.6271142888   1.889143938    2.050443056    0.9729999035   2.457138885    0.09794584851  0.01558904208  0.03896951465  0.104257388    0.01107419172  0.04140579024  1.868004268    1256.870729    30.41318174    
29       INTERFACE  0.3305898275   0.1489956696   28.77853779    0.2292282867   0.1913296407   1.847567383    0.4101536355   0.9077736846   2.260312183    3.258198377    2.840374741    2.104199036    0.212971256    0.2770428678   0.02689201963  0.04512365213  0.007436807414 0.4504780934   1.953198934    135.6186465    10.40450407    
30       INTERFACE  0.1596444276   0.4580910021   59.81456974    0.5387027576   0.2230704821   0.1126171497   0.1500796842   1.690573715    0.5890061438   1.974486919    1.964937977    2.550441043    0.03440330995  0.3027236933   0.09256897601  0.0998523884   0.001924071086 0.04557899829  1.102301913    608.3323925    18.85737244    
31       INTERFACE  0.281086592    0.7962448828   87.16659604    0.9295573962   0.7015031178   0.6220463638   0.4167361186   0.802408046    0.4126893608   1.393996026    1.69986999     2.779553929    0.1452681908   0.1171603026   0.124668491    0.1169709038   0.004052509514 0.2240869468   1.287663155    301.9207766    9.530247728    
32       INTERFACE  0.5606790922   0.4583484119   1.329960753    0.1892388313   0.7463204989   0.5253753268   0.5267243485   1.76186477     1.853040232    3.387785144    2.242575253    4.988421271    0.1579884065   0.2368938091   0.05413900891  0.07741836011  0.01146498095  0.4584432637   3.445908167    252.7919344    9.088350462    
33       INTERFACE  0.4857249559   0.7854661955   43.05277148    0.8180731135   0.6050564388   1.470502582    0.3926944586   0.7682291796   2.798049817    2.096399575    2.71407213     4.734630685    0.1272646422   0.3126373476   0.08967470679  0.02970080782  0.013136062    0.391182177    2.508639404    151.7010241    8.225276193    
34       INTERFACE  0.6594172788   0.812912703    44.38354865    0.220736824    0.355118653    1.684164722    0.5340973475   0.3851111217   0.6229777233   2.445505138    1.708727007    3.940748308    0.2412371234   0.3561525151   0.03348409505  0.1310871788   0.01077915924  0.3117012548   0.7588743799   134.2549361    5.661734627    
35       INTERFACE  0.296103475    0.6958925552   63.15711181    0.3007190284   0.3143390189   1.734459034    0.5149125958   0.6911634386   1.090017179    3.370949615    0.7398996001   4.977464312    0.1653901351   0.269733157    0.02049929912  0.0802499181   0.002737168045 0.1904944723   3.731478493    157.5320616    7.765369229    
36       INTERFACE  0.007928708106 0.244024882    18.31774474    0.1103085712   0.294535922    0.1086531087   0.2733331132   1.636632679    2.662075784    1.598959303    0.5838504008   3.974115167    0.2507562653   0.1763125153   0.08261827774  0.1063778536   0.006236877034 0.1464761579   0.1678219553   1231.171842    27.92448481    
37       INTERFACE  0.9693399179   0.5131188901   27.01321645    0.3836127392   0.5999370359   0.4916411564   0.2115933603   1.313431655    1.102589456    4.318778952    1.010834052    2.769520696    0.0528437234   0.231782333    0.09534499566  0.0242649783   0.008775263088 0.3926382007   2.829488691    415.8846427    14.48229803    
38       INTERFACE  0.214064484    0.889774358    18.55148839    0.6963646743   0.2829578144   0.480644011    0.270172671    1.465771914    0.5428249466   2.223786804    1.205874589    2.828790118    0.07799764788  0.3147442852   0.1410363743   0.1027266467   0.004221942351 0.3452419467   0.1125369255   174.4373679    13.18763746    
39       INTERFACE  0.5384300693   0.6240434424   11.58054083    0.6245522594   0.2707346462   1.891609111    0.25502611     1.078195075    2.172454402    3.619927082    0.6823085781   5.037353081    0.02586405173  0.1865466235   0.03479048563  0.1031031472   0.01282994648  0.4535560962   2.424079905    124.291621     10.0339012     
40       INTERFACE  0.8457320667   0.5744109731   60.55572212    0.152086583    0.6455589021   1.698344202    0.3328271015   0.9356107979   0.345047307    1.385953869    0.4826690902   4.012225473    0.1020130242   0.2682812329   0.1362027501   0.1050146171   0.005515013604 0.1310879161   0.2318559298   206.9548069    6.540122277    
