Id,Depth,Diameter,Angle,ThicknessSkin,ThicknessSct,ThicknessAponeurosis,ThicknessLooseAreolarTissue,ThicknessSkullOuter,ThicknessSkullDiploe,ThicknessSkullInner,ThicknessCsf,ConductivitySkin,ConductivitySct,ConductivityAponeurosis,ConductivityLooseAreolarTissue,ConductivitySkullCortical,ConductivitySkullDiploe,ConductivityCsf,AfPeak,aAfPeak,res,ares,nres,anres
12,0.335546,-0.260497,-0.170458,-0.169212,0.0668106,-0.138454,0.279164,-0.298471,-0.0484219,0.0584546,0.0522937,-0.149313,-0.133996,-0.0441209,-0.149257,0.163292,-0.252564,0.213051,137.946,137.946,34.7646,34.7646,0.467491,0.467491
75,0.0427288,-0.149391,0.326224,-0.129583,0.311314,0.108504,-0.183799,-0.0506658,0.0325492,0.162895,-0.224787,-0.0802183,-0.241413,0.165654,-0.307639,-0.205285,0.182629,-0.0866785,1016.36,1016.36,-34.4677,34.4677,-0.463499,0.463499
92,-0.131513,-0.0563251,0.69195,-0.206262,0.137294,-0.0672583,1.50531,0.294564,-0.294386,-0.320021,0.317696,0.169206,-0.202614,0.194227,-0.267043,0.228208,-0.00198701,0.17991,302.121,302.121,31.9005,31.9005,0.428977,0.428977
56,-0.320526,-0.19092,-1.63825,-0.0742741,-0.256772,0.300748,-0.2564,0.33652,-0.262559,0.131354,-0.175276,-0.312201,0.0652487,-0.281614,-0.114389,0.328447,0.069252,0.0673599,138.24,138.24,31.5703,31.5703,0.424536,0.424536
88,-0.146335,-0.0834352,-0.445675,-0.105045,0.0998109,-0.248069,-0.778514,0.276207,-0.30125,-0.14784,-0.20402,-0.111388,0.304523,0.148149,0.260153,0.00621764,0.330665,0.0793752,277.774,277.774,30.3646,30.3646,0.408323,0.408323
10,-0.14141,-0.223412,0.112047,-0.328439,0.181968,0.0924578,-1.14344,-0.26639,0.243889,-0.28004,-0.198869,-0.0351626,-0.257433,0.200039,-0.0600502,-0.287931,0.252417,-0.116231,222.814,222.814,29.4571,29.4571,0.396119,0.396119
27,-0.108156,0.0405977,-1.38055,-0.212336,0.00425985,-0.0948986,1.07221,-0.100232,-0.309653,0.203937,0.147745,-0.225838,0.313681,-0.240596,0.229506,0.196489,0.120979,0.0308242,239.296,239.296,28.9393,28.9393,0.389156,0.389156
87,0.243064,-0.0119845,-0.0022897,0.0373457,-0.259931,0.18548,0.627278,0.148693,-0.0711166,-0.181293,0.103757,0.187965,-0.253677,0.26626,0.0764239,0.248481,0.0661011,-0.0767543,168.395,168.395,28.1895,28.1895,0.379073,0.379073
18,0.195571,0.292528,-1.56589,0.279457,-0.291342,-0.220891,-0.682964,-0.0241178,0.2299,-0.0405073,-0.0414459,-0.243592,0.0132717,-0.224117,0.139141,-0.238495,0.31113,-0.302132,579.201,579.201,-24.5388,24.5388,-0.329982,0.329982
72,0.057959,-0.185102,0.262318,-0.128053,0.301834,0.0977176,1.20475,-0.079001,0.0397369,0.0243342,0.203864,0.313254,0.0553807,-0.0214665,-0.13472,-0.330211,-0.0942507,0.104621,300.146,300.146,21.6828,21.6828,0.291576,0.291576
22,-0.0651891,-0.303159,0.161354,-0.315268,-0.311545,-0.23452,1.55446,0.0445382,-0.263105,-0.237966,0.201153,-0.28915,0.208582,-0.176653,-0.227099,-0.139989,-0.0232143,0.14896,179.457,179.457,-20.1924,20.1924,-0.271533,0.271533
45,-0.222183,-0.20355,-1.66375,0.135303,0.167942,-0.113147,1.01133,-0.276729,0.286139,0.329968,-0.162424,0.2576,0.132776,-0.125083,-0.146847,0.0962384,-0.243969,0.235751,173.897,173.897,19.0777,19.0777,0.256544,0.256544
14,0.313423,-0.0683934,-0.0591887,0.330626,0.108182,-0.257118,-0.527445,-0.198653,0.238954,-0.0159067,0.0721593,0.0862251,0.319953,0.0951074,0.0355563,-0.000746768,0.0564157,0.00415791,269.415,269.415,-18.8055,18.8055,-0.252883,0.252883
49,-0.28569,0.250323,0.35762,-0.152653,0.0681347,-0.00562174,-1.13614,-0.250439,0.0601799,-0.193344,-0.182851,-0.0643201,0.0809346,-0.104085,-0.0433023,0.279412,-0.0696403,-0.236788,273.412,273.412,17.7709,17.7709,0.238971,0.238971
73,-0.268769,0.273836,1.67226,-0.057941,0.257765,-0.0842262,0.931232,0.116173,0.107862,0.0687293,0.163466,0.0210666,0.00149551,0.0822619,0.0538856,-0.323818,0.0411214,-0.215177,238.026,238.026,16.4398,16.4398,0.221071,0.221071
79,-0.00410693,0.11607,-1.27986,-0.0296059,-0.0211531,-0.0760825,-1.39815,0.32664,0.289857,0.259305,0.212961,-0.0255779,-0.116598,0.312346,-0.311193,0.286771,0.158194,0.244558,321.236,321.236,16.3527,16.3527,0.219901,0.219901
76,-0.328133,0.334192,1.3972,-0.165394,-0.034353,-0.0164823,1.38553,-0.162045,-0.033979,-0.0912736,0.110858,0.143482,-0.161176,-0.149215,0.0464309,0.254539,0.323534,-0.173434,412.934,412.934,-14.9057,14.9057,-0.200442,0.200442
64,0.100134,-0.27981,0.911688,0.25346,-0.105425,0.234179,1.40359,0.0574296,-0.0857901,-0.221899,0.228314,-0.116897,0.23475,-0.0912219,0.0879063,0.155618,-0.046384,-0.29789,428.758,428.758,-12.7517,12.7517,-0.171476,0.171476
20,-0.171277,-0.234068,1.61266,0.215513,-0.10019,-0.326336,-1.52993,0.287211,-0.114898,-0.213262,-0.149062,0.206678,-0.038023,-0.212509,0.0144577,0.190247,-0.259441,-0.226575,77.9549,77.9549,-12.1241,12.1241,-0.163037,0.163037
55,0.168616,0.0807724,-1.32457,-0.0885666,-0.220338,-0.264009,1.46207,0.0987609,-0.0431584,-0.0957999,-0.290759,-0.0437573,-0.325695,0.188508,-0.220308,0.0857735,-0.0855286,-0.0602,210.152,210.152,10.8306,10.8306,0.145643,0.145643
24,-0.0271535,0.00607306,-1.11101,-0.309021,-0.132782,0.0774376,-0.921843,-0.186549,0.331967,-0.045077,0.0293064,0.299559,0.185275,-0.32201,-0.0722954,0.114439,0.333163,-0.185488,338.447,338.447,-10.5896,10.5896,-0.142402,0.142402
9,-0.262829,0.0384598,0.51457,0.272694,0.0759013,0.312866,-1.50425,-0.0283197,0.165996,0.14087,0.0406573,-0.214093,-0.289258,0.133664,-0.282436,-0.0647267,0.288153,-0.145758,246.984,246.984,10.5076,10.5076,0.141299,0.141299
68,-0.248975,-0.275004,0.049156,-0.0448456,0.230946,-0.155779,0.0686897,-0.0732749,-0.0576756,0.185337,0.0870619,0.285202,0.0898333,0.23168,0.181918,-0.195056,0.130306,-0.0995714,164.48,164.48,10.3455,10.3455,0.139119,0.139119
58,-0.0727559,-0.062631,-0.706214,0.230824,-0.265731,0.031404,1.08924,0.11329,-0.139391,-0.165535,-0.223786,-0.249126,0.297228,0.297894,-0.3218,-0.231976,-0.208593,-0.0297512,175.237,175.237,10.1393,10.1393,0.136346,0.136346
63,0.0782639,-0.337318,1.52259,-0.249855,0.0420945,0.024814,-0.393593,-0.206531,-0.31132,-0.0672064,-0.123899,0.233852,-0.198191,0.25812,-0.075373,0.222014,0.293501,-0.203505,228.386,228.386,10.119,10.119,0.136074,0.136074
3,-0.238128,-0.251594,1.31932,-0.264931,-0.204059,-0.20256,-1.57846,0.181794,0.297524,0.00918428,0.0803375,-0.0825892,0.0386913,-0.0679663,-0.0508291,-0.16999,-0.31752,-0.240215,411.935,411.935,-9.77524,9.77524,-0.131451,0.131451
8,0.248107,0.160353,-0.453732,-0.275744,-0.184259,-0.0376331,-0.756472,-0.142898,0.0660179,0.295936,0.0065721,0.31676,-0.113615,-0.275453,-0.233544,-0.00753791,0.143033,0.330887,292.351,292.351,-7.06604,7.06604,-0.0950194,0.0950194
30,-0.210566,-0.290527,1.13974,-0.00667256,0.266421,0.104617,0.598298,0.0475278,0.0233258,0.232963,0.311925,-0.306174,-0.23963,-0.00206582,0.0837783,0.337363,-0.119864,0.174465,145.611,145.611,6.97639,6.97639,0.0938139,0.0938139
83,0.0841273,0.329054,1.52917,0.112883,-0.0745239,-0.129342,-1.34333,0.00161431,-0.00431016,0.243824,-0.259729,-0.203302,0.149038,-0.258033,0.18611,-0.294962,-0.27023,0.129486,192.671,192.671,6.89071,6.89071,0.0926617,0.0926617
98,0.32313,0.172241,-1.70549,0.00495468,0.0898786,0.140984,-1.31056,0.22902,-0.215723,0.113686,0.0140379,-0.272739,0.155198,0.048571,-0.0316696,0.209758,-0.1124,-0.158531,195.187,195.187,-6.24011,6.24011,-0.0839129,0.0839129
81,0.328126,0.126464,-0.180848,-0.201302,0.247563,0.20301,0.989628,0.196573,0.207159,-0.156145,-0.284727,-0.257797,-0.0923615,0.203991,0.121492,0.0452739,0.234559,-0.0739652,253.909,253.909,-6.23945,6.23945,-0.083904,0.083904
39,0.0239305,-0.0938314,-0.494979,-0.22022,-0.244357,0.16586,0.143591,-0.311157,0.218359,0.22712,0.272208,0.0284636,0.223004,0.336812,-0.198188,-0.127698,-0.326644,-0.180644,288.519,288.519,5.46624,5.46624,0.0735064,0.0735064
32,0.187028,-0.264295,1.16596,0.0587692,0.129257,0.196736,-0.576569,-0.121128,0.261051,-0.297132,0.187612,0.18843,0.199426,0.0679979,0.216931,-0.200093,0.0233555,-0.280137,177.917,177.917,4.30787,4.30787,0.0579294,0.0579294
77,-0.200541,0.15378,1.03958,-0.260917,-0.240549,-0.172874,1.57258,0.123548,0.00815231,-0.0483586,0.123291,0.159529,-0.0614487,0.309788,0.128339,0.182653,0.302117,0.186107,278.608,278.608,3.4398,3.4398,0.0462562,0.0462562
5,0.0391689,0.188517,0.939498,-0.0211441,0.159404,0.0656186,-1.09482,-0.0893798,0.314025,0.273132,0.252549,0.0194967,0.247536,0.178548,0.253098,0.317931,-0.291131,0.0461647,284.181,284.181,-2.69992,2.69992,-0.0363067,0.0363067
21,0.157812,-0.297461,-1.04484,-0.184438,0.330473,0.127547,-1.47712,-0.139539,0.0046595,-0.187618,-0.320682,0.244218,0.13891,0.288226,0.30592,0.306002,0.137542,0.30558,295.925,295.925,2.64936,2.64936,0.0356268,0.0356268
93,0.203355,0.112399,1.08877,-0.0635532,-0.0412734,0.222864,0.845249,0.303638,0.185675,-0.174096,-0.0840661,0.221669,0.261936,-0.162187,0.105542,0.294729,-0.028042,-0.32299,397.839,397.839,2.14592,2.14592,0.0288569,0.0288569
11,-0.150175,-0.330766,-1.50489,0.145565,-0.16376,-0.283039,-0.291846,0.16177,-0.0226457,0.201798,0.0133847,-0.0915644,0.0278439,0.121026,-0.0195749,-0.255363,0.279644,-0.329352,192.436,192.436,1.78534,1.78534,0.024008,0.024008
19,0.261094,-0.00628936,1.01068,0.206975,0.255624,-0.141899,0.877328,-0.247308,0.142666,-0.205666,-0.121373,-0.321255,-0.214499,-0.0164695,-0.21048,0.259989,0.0803754,-0.0340661,487.809,487.809,-1.60653,1.60653,-0.0216036,0.0216036
