Id,Interface,Depth,Diameter,Angle,ThicknessSkin,ThicknessSct,ThicknessAponeurosis,ThicknessLooseAreolarTissue,ThicknessSkullOuter,ThicknessSkullDiploe,ThicknessSkullInner,ThicknessCsf,ConductivitySkin,ConductivitySct,ConductivityAponeurosis,ConductivityLooseAreolarTissue,ConductivitySkullCortical,ConductivitySkullDiploe,ConductivityCsf,AfPeak
48,INTERFACE,0.120409,-0.0423051,0.45032,0.292478,0.184004,-0.184016,-1.04545,0.313779,0.101331,-0.212028,-0.32695,0.0746544,-0.248059,0.211761,-0.251889,-0.113594,-0.265014,-0.295213,296.419
49,INTERFACE,-0.206395,-0.310742,-0.667327,0.288904,-0.0801294,-0.25712,-1.59005,0.045821,-0.334682,0.251111,0.22506,-0.264906,-0.0529565,0.326764,-0.277116,0.0212354,0.133158,0.0111441,873.28
50,INTERFACE,-0.256741,-0.0473496,1.63736,-0.169433,-0.286861,-0.288694,0.698579,-0.127163,-0.202994,-0.319893,-0.0532661,0.21361,0.0942809,-0.193924,-0.102386,-0.33535,-0.181964,-0.225119,344.983
51,INTERFACE,0.259373,0.239085,0.917119,0.0785402,0.0503851,-0.0663861,-1.50449,-0.0671508,0.110989,-0.167688,0.31849,0.187544,-0.271431,0.107344,-0.314337,0.123569,-0.128452,0.174398,385.178
52,INTERFACE,0.0893601,0.315871,-0.19136,-0.209782,0.0729441,0.248087,-1.32614,0.0268672,-0.193753,-0.0270185,-0.0293366,-0.191106,0.0794258,0.257388,-0.316333,0.247452,-0.301072,0.0483279,258.176
53,INTERFACE,0.333329,-0.0816705,1.71741,0.00466554,-0.137447,0.0723901,0.780217,0.281347,0.166312,0.212905,0.23401,-0.278738,-0.266021,-0.235306,-0.202332,-0.320576,0.148306,-0.10252,419.611
54,INTERFACE,0.238254,0.267696,1.27357,-0.196026,-0.0705818,-0.137137,-1.71465,-0.297863,-0.220196,0.120821,0.168836,-0.135795,0.0866664,-0.176303,0.0652804,-0.0171864,0.257724,0.17236,217.418
55,INTERFACE,-0.208929,-0.206378,0.0261425,0.259638,0.213272,-0.208531,0.0499717,0.207472,0.149564,0.150308,0.214841,0.287254,0.179499,-0.0437941,0.11503,0.192249,0.0296477,-0.179066,229.503
56,INTERFACE,0.328733,-0.0433134,1.16591,0.0510612,-0.335253,-0.294307,-1.18388,-0.287082,-0.109193,0.195092,-0.081328,0.100642,-0.201273,-0.322973,0.0966308,-0.177424,0.292535,-0.230763,192.53
57,INTERFACE,-0.295416,0.0954627,-0.125392,-0.249962,-0.0215921,0.316041,-0.322524,-0.0482304,0.0963701,0.111591,-0.262202,0.0146542,0.153849,-0.241851,0.0676447,-0.201233,-0.288007,-0.0452543,203.017
58,INTERFACE,0.172953,0.321081,-0.179365,-0.301288,-0.189212,0.282361,-0.858171,0.111496,-0.179872,0.231387,0.0280333,0.283042,0.17762,0.125371,0.326454,-0.0100394,0.301952,-0.181018,230.244
59,INTERFACE,0.138688,0.23269,1.57482,0.257505,0.181758,0.275756,0.920743,-0.131122,-0.257977,0.297873,0.152754,0.158514,-0.136177,0.233386,0.0671554,-0.0667687,0.134576,0.235215,215.466
60,INTERFACE,-0.038305,0.153441,0.962533,-0.204125,0.0591408,-0.280742,-1.22426,0.0873497,-0.0615716,0.193573,-0.0780198,-0.0639007,-0.248643,0.292416,-0.261802,-0.22917,-0.0602139,0.142618,368.696
61,INTERFACE,0.254107,0.167643,-0.20022,0.0765136,-0.112282,-0.239412,-0.144119,-0.17651,0.0180846,0.304529,0.0208962,-0.00847134,0.176637,-0.000278946,-0.051619,0.0635239,0.0373716,-0.33128,377.125
62,INTERFACE,0.0565566,-0.137921,-1.41303,0.314313,-0.230596,-0.062246,-0.442123,-0.323294,-0.0612544,-0.192096,0.32251,-0.313838,-0.290625,0.10898,-0.0602815,-0.32995,0.105285,0.0863355,653.64
63,INTERFACE,0.0235133,-0.330542,0.885495,0.322466,0.0618539,-0.151569,-1.34219,-0.121788,0.195938,0.293278,0.121927,0.30705,0.0806001,0.169757,-0.0727972,-0.130581,-0.00717197,0.00840192,621.934
64,INTERFACE,0.116207,-0.252321,-0.520503,0.189497,-0.336541,0.235327,-0.772526,-0.224378,0.0939631,0.0611063,-0.265245,0.244192,0.187667,0.100982,0.284073,0.18865,-0.229704,-0.0887374,1781.79
65,INTERFACE,0.0953745,0.286517,0.253619,0.0692872,-0.0774206,0.121286,-0.796715,0.0536912,0.251437,0.210179,-0.114906,-0.106486,0.0394588,0.331132,0.0196787,-0.11904,-0.138993,-0.0590931,271.919
66,INTERFACE,-0.247466,-0.0178958,-0.444405,0.102099,-0.177103,0.13702,1.04023,-0.211831,-0.0642569,-0.325692,-0.303267,-0.33049,0.207832,-0.248223,0.0731273,-0.290126,-0.291692,-0.119451,185.688
67,INTERFACE,0.287188,-0.195403,-0.740239,0.211543,0.0952397,-0.14815,0.366658,0.336077,0.270355,-0.0598526,0.332448,-0.253609,-0.255346,0.124121,0.145581,0.255278,0.23307,-0.303807,405.774
68,INTERFACE,0.203364,0.170208,0.940415,-0.249562,0.15317,0.0789175,-0.355121,-0.233121,-0.279418,-0.048466,-0.216315,-0.0100255,-0.230639,0.299714,0.192906,0.0487906,0.284044,0.119542,367.861
69,INTERFACE,0.233531,-0.00698908,-1.40987,-0.0357229,-0.117086,0.31194,0.862689,0.162728,-0.176229,-0.186671,0.0893807,-0.0768178,-0.224164,-0.105085,0.315813,-0.0415281,0.285273,0.0943288,336.695
70,INTERFACE,-0.257248,0.204295,-1.34426,0.120883,-0.2082,-0.107099,-0.411556,0.0884582,0.0688079,-0.2553,0.0805358,-0.242,0.0483379,-0.256264,0.0997452,0.287464,0.271563,0.314768,255.414
71,INTERFACE,-0.0268876,0.108554,-0.0159185,0.0337076,-0.215817,-0.268574,-0.409211,-0.0360991,-0.0448415,-0.230465,0.0808614,-0.226498,-0.292435,0.0944724,0.166517,0.112648,0.0903981,-0.254356,439.491
72,INTERFACE,-0.205386,-0.216382,1.13024,0.184808,0.12646,-0.0648646,-0.578674,-0.0966726,-0.327673,-0.0449799,-0.271373,0.136022,-0.0230841,-0.197383,-0.295852,-0.0905611,0.124717,0.258633,361.242
73,INTERFACE,0.218985,-0.285363,0.0541769,0.327126,-0.170382,-0.122747,-1.4971,-0.148705,0.078795,0.183636,0.040784,0.208364,-0.277295,-0.184008,-0.196067,0.00372396,-0.0771571,0.222317,5901.03
74,INTERFACE,0.0201634,0.0165718,0.504688,0.110615,-0.0944791,0.125995,-1.29336,0.165331,0.019658,0.0322626,0.31009,-0.120546,-0.155439,-0.090778,0.108876,0.0471368,-0.224699,0.0136069,440.984
75,INTERFACE,0.212314,0.192711,-0.656307,-0.272871,-0.00387711,-0.042184,1.2554,-0.185928,0.327486,0.106592,0.199029,-0.309025,0.305315,0.0415624,0.182686,-0.286665,-0.136727,-0.0554369,193.259
76,INTERFACE,0.205579,-0.286334,0.782851,-0.0294147,-0.220167,0.219546,1.32184,-0.11125,-0.252825,0.037757,-0.252449,-0.0485228,-0.0876544,-0.194883,0.144476,-0.227847,-0.236214,-0.144241,456.361
77,INTERFACE,0.319573,0.175499,1.52486,-0.00178273,0.0282409,-0.301253,0.389669,-0.0831624,0.0103233,0.0477052,0.154191,0.133259,0.224322,0.236684,0.101345,-0.193779,0.0512407,-0.264326,335.003
78,INTERFACE,-0.0409521,-0.0934997,-0.47737,0.106473,-0.00633363,0.274126,0.114096,0.302461,0.320267,0.302159,-0.299597,0.224696,0.0516556,0.0344012,-0.328401,0.0895159,0.279401,-0.101362,185.429
79,INTERFACE,0.0520405,0.206105,1.52926,0.253532,-0.0336029,0.320779,-0.2104,0.214011,0.0904039,0.0882833,0.104612,0.21316,-0.147086,0.0595654,0.334822,-0.134571,-0.161448,0.129154,258.764
80,INTERFACE,0.0448758,0.214902,1.08457,-0.066137,-0.336183,0.110444,0.212626,-0.23694,-0.0749199,-0.173361,-0.0606738,0.249681,-0.00283821,-0.112915,-0.171631,0.331339,-0.308319,-0.0946512,403.247
81,INTERFACE,-0.128983,-0.194331,0.198456,-0.204698,-0.22759,0.0150104,-0.368978,-0.208152,-0.0056604,-0.122831,-0.117239,0.0203341,-0.329603,-0.0924366,0.0301775,0.269069,0.23863,0.0552511,822.294
82,INTERFACE,-0.29805,-0.150463,-1.71889,0.17266,0.0627808,0.231192,-0.679603,-0.126403,0.231794,0.00389115,-0.232459,-0.197862,0.0293765,0.225855,0.0525873,0.284696,0.161286,0.330031,281.277
83,INTERFACE,0.0666105,0.279459,-1.01703,-0.225839,0.136624,-0.168931,-0.747766,-0.114368,-0.224321,0.337099,0.130318,0.0606347,-0.00899222,-0.185501,0.296298,-0.325177,0.301499,0.112835,229.315
84,INTERFACE,-0.161734,0.0833398,-0.905788,-0.290427,-0.157472,-0.095915,-0.161578,-0.0505878,0.138802,-0.161482,0.116514,-0.223605,0.136481,0.167367,-0.20901,0.0313971,0.0993402,-0.0394594,293.468
85,INTERFACE,0.0376909,0.302049,-1.55412,-0.303055,0.092396,-0.00885828,1.02805,-0.0244027,0.0570218,-0.0619893,0.0504268,-0.123942,0.199397,0.270033,-0.14767,0.122571,0.231834,0.309017,141.567
86,INTERFACE,0.324515,-0.0531042,-1.13138,0.0965769,-0.2227,0.19659,-1.26349,-0.232144,0.0113581,-0.249762,-0.118547,-0.0378749,-0.0728287,0.264291,0.307875,-0.13989,0.217654,-0.0932521,688.203
87,INTERFACE,0.0545525,0.12307,1.48233,0.210692,0.143257,-0.207152,-0.247482,0.0705677,-0.0827151,-0.223231,-0.266606,0.214576,-0.0780159,-0.315119,-0.0917219,0.200905,-0.289141,0.282984,309.151
88,INTERFACE,-0.154521,-0.137682,1.50444,0.168575,0.315662,0.186159,-1.09566,-0.223464,-0.0263118,-0.169457,0.218648,-0.31603,-0.164472,0.241898,0.0433883,0.259501,0.00337119,0.193092,427.711
89,INTERFACE,0.294757,0.0900259,-0.625268,0.0612337,-0.283328,0.112323,0.337845,-0.32756,-0.110455,-0.148317,-0.253167,0.306312,-0.0809545,0.30094,0.220065,-0.0365868,-0.146124,-0.153332,467.141
90,INTERFACE,-0.240359,-0.298937,1.10398,-0.313538,0.29081,0.310459,-1.0131,0.0453887,-0.286643,-0.210426,-0.0201716,0.172008,0.134616,-0.321793,-0.285444,0.203069,0.245956,0.089877,350.121
91,INTERFACE,0.239538,-0.176013,-0.157954,-0.093967,0.119433,-0.021867,-0.833915,0.265002,0.180219,-0.079538,-0.0110195,-0.176718,0.160581,-0.0138413,-0.302146,-0.157498,0.312075,-0.133519,391.185
92,INTERFACE,0.14173,0.0332231,0.49073,-0.0148004,-0.120318,-0.0955388,0.932538,-0.22629,0.0466885,0.305298,0.0174923,0.0164906,0.121772,-0.181664,-0.237638,0.278838,0.256013,0.0998866,325.997
93,INTERFACE,0.142748,0.326641,0.239878,0.0975127,-0.0483903,0.297464,0.582763,0.288213,-0.201244,-0.0712913,-0.0407727,-0.205705,0.148695,0.251215,-0.194739,0.0860826,0.219487,0.303635,205.897
94,INTERFACE,-0.0578299,-0.154336,1.1116,0.300191,-0.0512357,0.172551,-0.427291,0.0346486,0.291407,-0.241027,-0.0378181,0.111062,0.217891,0.0569169,0.138192,0.209527,-0.0481729,0.0822552,393.172
95,INTERFACE,-0.275718,-0.297806,0.741781,-0.0194228,-0.16485,0.117285,1.66475,-0.190895,0.17808,0.125398,-0.194316,-0.145838,-0.250043,-0.150768,0.181121,0.193077,-0.0166228,0.0880475,353.953
96,INTERFACE,-0.274169,0.0665562,0.0766698,-0.013352,0.205593,-0.0835413,0.0189736,-0.103938,-0.165753,0.287355,0.323987,0.12192,0.0018881,0.218692,0.333262,-0.032429,0.241419,0.0267547,224.754
97,INTERFACE,-0.0750111,0.0634364,1.60752,0.294006,-0.275454,-0.33477,-0.480239,-0.0795716,0.174893,0.1486,0.0752687,0.108759,-0.125984,0.191444,0.329888,-0.206656,-0.100996,-0.295465,430.568
