%eval_id interface RELDEPTH       DIAMETER       POSITION       ANGLE          ELECTRELDEPTH  THICKNESS_SKIN THICKNESS_SCT  THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF  CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF AFmax_4um      GAFmax_4um     
18       INTERFACE  0.8708739371   0.5229527717   8.615071772    67.045113      0.7841202197   0.7082471036   0.8466763844   0.1740553313   1.018211087    3.181247167    1.622355977    2.670974722    3.526040035    0.1763315739   0.06113772122  0.1408559487   0.1083050559   0.003749613549 0.128159098    0.863279701    57.96944745    10.46122823    
19       INTERFACE  0.4490107855   0.5354571367   4.193046748    84.25458056    0.868393989    0.2659001313   1.545653397    0.1689621923   0.7233340505   0.4382476633   3.611882102    1.429327369    2.190566165    0.1226490564   0.2145624453   0.03066272228  0.0393600739   0.01317209987  0.0450699819   2.49743342     5.418103649    2.655470696    
20       INTERFACE  0.5810904348   0.3224973569   10.75219785    39.60891113    0.8882930123   0.4291158782   0.3425004979   0.2004246201   0.6494691865   2.898618082    3.321928382    2.601642033    4.337552041    0.02704759999  0.1961039793   0.04315802917  0.122804152    0.01135391279  0.388706084    2.226959467    413.2042464    25.90169241    
21       INTERFACE  0.4718088998   0.2147504058   -2.681214526   78.22502902    0.7644592947   0.6401190601   1.392987222    0.137609396    0.6820838592   3.059918321    3.573687524    1.156318915    3.321594265    0.05868198063  0.270600024    0.1003816103   0.08769808119  0.00360609135  0.02475407924  0.2395434932   42.4160954     2.239387508    
22       INTERFACE  0.5453229133   0.2363476356   8.196355552    54.68058793    0.1065110971   0.6052157748   0.9566681228   0.4188720482   0.9514894845   2.888513215    4.055264569    0.5123599867   3.237238467    0.1074693531   0.2846842723   0.07527692389  0.0461477189   0.009664462505 0.1426093627   3.057160111    59.11860857    9.074652709    
23       INTERFACE  0.09868262826  0.8025623141   7.75884854     49.41118058    0.08475308037  0.3564232391   1.232427343    0.3901376495   0.4454002704   2.990891718    2.286037407    1.929429335    3.581682017    0.1411930815   0.1168397175   0.01136929107  0.009516751657 0.01036615116  0.3001462086   0.725927535    59.43896295    15.74456914    
24       INTERFACE  0.5849865308   0.697513848    0.2498008547   85.11300538    0.7274856187   0.7653995915   1.491582616    0.5086039978   1.481284135    1.666097469    1.792628529    0.7978209416   4.620966175    0.2674255735   0.1018674857   0.00938681819  0.1130430512   0.007311989786 0.0987053637   0.8784616287   1.716669638    0.2342957697   
25       INTERFACE  0.01671187896  0.2103843921   -18.59339857   5.742345774    0.9962462406   0.3722418887   0.4919411423   0.4042154432   1.095234514    0.4898800345   3.014432492    2.897083755    4.166464228    0.1932147222   0.3478482825   0.1131325451   0.1447216392   0.002532418669 0.2398121245   3.296607789    194.634389     29.17866286    
26       INTERFACE  0.1661098689   0.4729770685   -10.32056804   22.3510948     0.3238244626   0.6157460107   1.081168483    0.2625646639   1.564028696    1.692960007    3.753437526    2.388820397    2.371993057    0.1343436434   0.2985562112   0.09372314715  0.05761572177  0.002410228475 0.3986833156   3.756475765    195.962831     14.01341939    
27       INTERFACE  0.7433449438   0.9173958542   0.1425764493   33.79424016    0.374469918    0.712735163    1.811914028    0.3590038905   0.7816273349   2.527522345    3.524497223    1.516144826    2.127239012    0.131144385    0.1276522131   0.02369207682  0.09914320129  0.01038823438  0.2555994171   1.256478654    32.51743899    1.198783344    
28       INTERFACE  0.2936572297   0.1296643337   13.70817708    2.854741276    0.9471495828   0.5979673265   0.7537207501   0.1812359808   0.9498833813   2.069748503    2.243360498    0.1039750877   2.349168794    0.2194216425   0.05875073536  0.0206039454   0.09204637474  0.004052240398 0.4154369991   0.02124385778  185.7879056    16.47858512    
