%eval_id interface RELDEPTH       DIAMETER       ANGLE          ELECTRELDEPTH  THICKNESS_SKIN THICKNESS_SCT  THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF  CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF AFmax_4um      GAFmax_4um     
16       INTERFACE  0.7574525942   0.1817489199   41.24133516    0.7216732527   0.8014835313   0.6593074845   0.1648189813   0.9711762357   2.643563467    3.471432109    2.08184757     4.423826977    0.1974417972   0.2789424917   0.1240771989   0.06055164137  0.004247881871 0.06454648199  0.07473134806  269.1447029    10.40964288    
17       INTERFACE  0.3214983503   0.8070986574   75.25855092    0.7943268699   0.4802398673   1.761168184    0.5474948783   1.11974709     1.782952311    3.105623299    2.012270914    2.634180427    0.1320929158   0.05379612885  0.1226172515   0.06314073898  0.006641342745 0.439987606    1.625983732    197.5851761    6.32422991     
18       INTERFACE  0.9080702726   0.863588901    30.51121484    0.2618902718   0.4307668209   1.432540584    0.4562455077   0.8572490564   0.3999799102   1.645791437    2.088685688    4.868493972    0.05314908404  0.1385876426   0.1272736216   0.1271198933   0.007281716064 0.2438529481   3.377246998    229.7499313    9.560672168    
19       INTERFACE  0.2126896806   0.3284108232   59.16536006    0.1442935821   0.8229823478   0.8811056272   0.4998340254   1.238694898    3.318150153    1.764129678    0.8197149819   3.882784112    0.07974983645  0.1468469891   0.1217378497   0.06195657375  0.01372393654  0.1056143295   2.780585732    393.0777621    8.657643161    
20       INTERFACE  0.5390764038   0.1803881185   58.26037624    0.5922498983   0.194353328    0.9422569629   0.4375695826   0.5225116109   1.522795221    3.717747882    1.211732719    2.469204956    0.2539037874   0.3112643393   0.05663483189  0.05257156299  0.01266355901  0.4583385506   0.8847402583   351.5786444    7.634068911    
21       INTERFACE  0.7772134996   0.1949606501   76.64342992    0.2764481521   0.5198848107   0.8091412452   0.1718898366   1.562822433    2.061300757    3.354409944    0.1198023405   3.308992159    0.03258534177  0.3244272331   0.126726851    0.05673228957  0.004984871289 0.01312107586  0.1016485889   440.6430398    8.90907892     
22       INTERFACE  0.149476569    0.6774720337   74.12141094    0.9166230342   0.6849665356   1.310539054    0.1440277349   1.355835181    2.556822208    3.899747384    2.205668533    3.024256387    0.09975351541  0.1724654796   0.02651012913  0.0488816583   0.007236721453 0.4340151004   0.8244740923   185.9113449    5.850946512    
23       INTERFACE  0.8175112833   0.6887706601   68.93670844    0.9381175166   0.2185206526   1.120748434    0.2954792402   0.249520666    2.020354771    4.220846849    0.7879903645   4.328461626    0.02521592006  0.03001530739  0.03648509097  0.06068730616  0.004387372767 0.1745208999   3.370055913    382.450226     8.453340291    
24       INTERFACE  0.9712753965   0.9324643719   63.78086168    0.576055569    0.3330064679   0.3978485749   0.5304836995   1.254253008    2.292593864    3.00564696     1.734054165    4.693525516    0.1237912375   0.2978182847   0.04237749697  0.0863656212   0.003441826739 0.2915679435   1.573551762    224.4479194    8.695951764    
25       INTERFACE  0.05006126996  0.8652968282   53.45357165    0.1233371643   0.3133049678   1.825739951    0.4937868581   0.4078876464   0.9826644191   2.539534144    0.1903903644   4.372297677    0.2393957669   0.03403346861  0.06509753925  0.1348010122   0.004208100192 0.3049966404   1.366307107    193.8702409    6.148868932    
